Day,Month,Year,Year,TLmm,Lastrecord
01,03,2016,2016,115,123
07,02,2017,2017,115,68
07,02,2017,2017,115,92
03,03,2015,2015,115,141
17,02,2016,2016,115,161
10,02,2017,2017,115,58
10,02,2017,2017,115,139
08,03,2016,2016,115,110
01,03,2016,2016,114,134
07,02,2017,2017,114,40
09,03,2016,2016,114,122
17,02,2016,2016,114,182
17,02,2015,2015,114,135
01,03,2016,2016,113,114
07,02,2017,2017,113,101
16,02,2017,2017,113,135
22,02,2016,2016,113,131
22,02,2016,2016,113,135
04,03,2016,2016,113,87
01,03,2016,2016,112,97
09,03,2016,2016,112,108
13,02,2017,2017,112,168
10,02,2017,2017,112,59
14,02,2017,2017,112,111
09,02,2017,2017,112,123
16,02,2016,2016,111,97
16,02,2016,2016,111,114
13,02,2017,2017,111,139
13,02,2017,2017,111,168
10,03,2016,2016,111,79
22,02,2016,2016,111,148
10,02,2017,2017,111,171
09,02,2017,2017,111,104
09,03,2016,2016,110,168
07,02,2017,2017,110,134
07,02,2017,2017,110,139
14,02,2017,2017,110,62
09,02,2017,2017,110,131
09,02,2017,2017,110,119
13,02,2017,2017,109,122
09,02,2017,2017,109,99
22,02,2016,2016,108,166
